"","DP","DPNOM","DPMP","MPIO","pop10","hommun10","hrate10","sur10","pop11","hommun11","hrate11","sur11","pop12","hommun12","hrate12","sur12","pop13","hommun13","hrate13","sur13","pop14","hommun14","hrate14","sur14","pop15","hommun15","hrate15","sur15","pop16","hommun16","hrate16","sur16","pop17","hommun17","hrate17","sur17","pop18","hommun18","hrate18","sur18"
"49",5,"Antioquia",5284000,"Frontino",18244,4,2.19250164437623,9997.80749835562,17913,7,3.90777647518562,9996.09222352481,17587,11,6.25461988969125,9993.74538011031,17261,6,3.47604426163026,9996.52395573837,16942,7,4.13174359579743,9995.8682564042,16615,6,3.6111947035811,9996.38880529642,16311,4,2.45233278155846,9997.54766721844,16008,5,3.12343828085957,9996.87656171914,15703,4,2.54728395847927,9997.45271604152
"50",5,"Antioquia",5306000,"Giraldo",4119,0,0,10000,4090,1,2.44498777506112,9997.55501222494,4077,1,2.45278390973755,9997.54721609026,4064,2,4.92125984251969,9995.07874015748,4043,7,17.3138758347762,9982.68612416522,4029,3,7.44601638123604,9992.55398361876,4009,2,4.98877525567473,9995.01122474432,3992,5,12.5250501002004,9987.4749498998,3977,3,7.54337440281619,9992.45662559718
"51",5,"Antioquia",5308000,"Girardota",48226,7,1.45149919130759,9998.54850080869,49398,32,6.47799506052877,9993.52200493947,50583,25,4.94237194314295,9995.05762805686,51782,36,6.95222278011664,9993.04777721988,53006,18,3.39584198015319,9996.60415801985,54240,20,3.68731563421829,9996.31268436578,55490,9,1.62191385835286,9998.37808614165,56755,5,0.8809796493701,9999.11902035063,58030,13,2.24022057556436,9997.75977942444
"52",5,"Antioquia",5310000,"Gómez Plata",12048,2,1.66002656042497,9998.33997343958,12204,2,1.63880694854146,9998.36119305146,12353,5,4.04759977333441,9995.95240022667,12513,4,3.19667545752417,9996.80332454248,12662,0,0,10000,12810,9,7.02576112412178,9992.97423887588,12964,1,0.771366862079605,9999.22863313792,13115,4,3.04994281357225,9996.95005718643,13266,2,1.50761344791196,9998.49238655209
"53",5,"Antioquia",5313000,"Granada",9824,0,0,10000,9824,0,0,10000,9838,3,3.04940028461069,9996.95059971539,9838,1,1.0164667615369,9998.98353323846,9855,2,2.02942668696093,9997.97057331304,9859,3,3.04290495993508,9996.95709504006,9866,0,0,10000,9873,4,4.05145345892839,9995.94854654107,9881,0,0,10000
"54",5,"Antioquia",5315000,"Guadalupe",6267,1,1.5956598053295,9998.40434019467,6274,1,1.5938795027096,9998.40612049729,6281,2,3.18420633657061,9996.81579366343,6287,4,6.36233497693654,9993.63766502306,6294,4,6.3552589768033,9993.6447410232,6300,0,0,10000,6306,0,0,10000,6313,0,0,10000,6318,0,0,10000
"55",5,"Antioquia",5318000,"Guarne",43576,8,1.83587295759133,9998.16412704241,44407,2,0.450379444682145,9999.54962055532,45253,13,2.87273771904625,9997.12726228095,46096,13,2.82020131898646,9997.17979868101,46951,17,3.6207961491768,9996.37920385082,47797,9,1.88296336590163,9998.1170366341,48659,10,2.05511827205656,9997.94488172794,49533,8,1.61508489289968,9998.3849151071,50401,4,0.793635046923672,9999.20636495308
"56",5,"Antioquia",5321000,"Guatapé",5566,0,0,10000,5507,0,0,10000,5458,2,3.66434591425431,9996.33565408575,5394,1,1.85391175380052,9998.1460882462,5338,2,3.74672161858374,9996.25327838142,5279,3,5.68289448759235,9994.31710551241,5231,6,11.4700822022558,9988.52991779774,5167,1,1.93535900909619,9998.0646409909,5097,0,0,10000
"57",5,"Antioquia",5347000,"Heliconia",6281,1,1.5921031682853,9998.40789683172,6209,7,11.2739571589628,9988.72604284104,6138,3,4.88758553274682,9995.11241446725,6060,2,3.3003300330033,9996.699669967,5985,3,5.0125313283208,9994.98746867168,5906,1,1.69319336268202,9998.30680663732,5837,4,6.85283536063046,9993.14716463937,5757,4,6.94806322737537,9993.05193677262,5690,2,3.51493848857645,9996.48506151142
"58",5,"Antioquia",5353000,"Hispania",4845,1,2.0639834881321,9997.93601651187,4849,0,0,10000,4854,1,2.06015657189946,9997.9398434281,4859,4,8.23214653220827,9991.76785346779,4864,3,6.16776315789474,9993.8322368421,4869,1,2.05380981721093,9997.94619018279,4874,1,2.05170291341814,9997.94829708658,4879,3,6.14880098380816,9993.85119901619,4885,9,18.4237461617195,9981.57625383828
